firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo
Замирбек Маданбекович,Алымбеков,В командировке,Ю.Корея,03-04.06.2015г.,-
Саматбек Кулукеевич,Ибраев,,,,-
Абдыманап Орозбаевич,Кутушев,,,,Н.Касымбекову
Карамат Бабашевна,Орозова,По состоянию здоровья,,03-04.06.2015г.,Э.Сакебаеву
Майрамкан Мамытовна,Кадырбекова,,,,-
Сайдулла Канболотович,Нышанов,В командировке,Жалал-Абадская   обл.,03-04.06.2015г.,У.Нуркулову
Бакыт Эргешевич,Төрөбаев,По уважительной причине,,03-04.06.2015г.,-
Тынчтык Урайимович,Шайназаров,,,,-
Ахматбек Келдибекович,Келдибеков,,,,-
Мирлан Исакбекович,Бакиров,В командировке,Литва,27.05.2015г.,-
Бактыгул Арстанович,Маматов,В командировке,Ошская обл.,27.05.2015г.,-
Уланбек Калдарович,Нуркулов,По уважительной причине,,27.05.2015г.,-
Асылбек Шарипович,Жээнбеков,В командировке,"г. Москва, РФ",27-28.05.2015г.,-
Алмазбек Баатырбекович,Баатырбеков,,,,-
Наталья Владимировна,Никитенко,,,,А.Сасыкбаевой
Бахтияр Сабиржанович,Кадыров,,,,-
Хаджимурат Зулкарнаевич,Коркмазов,,,,-
Нуркамил Апишевич,Мадалиев,,,,-
Эркин Абдышевич,Сакебаев,В командировке,"г.   Санкт-Петербург, РФ",27-28.05.2015г.,-
Алла Николаевна,Измалкова,,,,-
Каныбек,Осмоналиев,В командировке,Германия,27-28.05.2015г.,Ф.Кулову
Акылбек Шакирович,Султанов,В командировке,Ош,27-28.05.2015г.,З.Жоошбекову
Надира Азимовна,Нарматова,В командировке,Болгария,27-28.05.2015г.,А.Арапбаеву
Элмурат Абдувапович,Обдунов,По состоянию здоровья,,27-28.05.2015г.,-
Майрамкан Мамытовна,Кадырбекова,,,,-
Карамат Бабашевна,Орозова,,,,Э.Сакебаеву
Токтогул Туманович,Туманов,В командировке,Латвия,27-28.05.2015г.,-
Замирбек Маданбекович,Алымбеков,,,,-
Абдыманап Орозбаевич,Кутушев,,,,Н.Касымбекову
Эристина Азрет-Алиевна,Кочкарова,,,,-
Мурадыл Ганыевич,Мадеминов,,,,Ж.Исаеву
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,27-28.05.2015г.,-
Абдимуктар,Маматов,По уважительной причине,,28.05.2015г.,-
