firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo,source
"Замирбек Маданбекович","Алымбеков","В командировке","Ю.Корея","03-04.06.2015г.","-","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Саматбек Кулукеевич","Ибраев","В командировке","Ю.Корея","03-04.06.2015г.","-","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Абдыманап Орозбаевич","Кутушев","В командировке","Ю.Корея","03-04.06.2015г.","Н.Касымбекову","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Карамат Бабашевна","Орозова","По состоянию здоровья",,"03-04.06.2015г.","Э.Сакебаеву","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Майрамкан Мамытовна","Кадырбекова","По состоянию здоровья","","03-04.06.2015г.","-","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Сайдулла Канболотович","Нышанов","В командировке","Жалал-Абадская   обл.","03-04.06.2015г.","У.Нуркулову","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Бакыт Эргешевич","Төрөбаев","По уважительной причине",,"03-04.06.2015г.","-","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Тынчтык Урайимович","Шайназаров","По уважительной причине","","03-04.06.2015г.","-","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Ахматбек Келдибекович","Келдибеков","По уважительной причине","","03-04.06.2015г.","-","http://kenesh.kg/RU/Articles/30288-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_34_iyunya_2015_goda.aspx"
"Мирлан Исакбекович","Бакиров","В командировке","Литва","27.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Бактыгул Арстанович","Маматов","В командировке","Ошская обл.","27.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Уланбек Калдарович","Нуркулов","По уважительной причине",,"27.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Асылбек Шарипович","Жээнбеков","В командировке","г. Москва, РФ","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Алмазбек Баатырбекович","Баатырбеков","В командировке","г. Москва, РФ","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Наталья Владимировна","Никитенко","В командировке","г. Москва, РФ","27-28.05.2015г.","А.Сасыкбаевой","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Бахтияр Сабиржанович","Кадыров","В командировке","г. Москва, РФ","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Хаджимурат Зулкарнаевич","Коркмазов","В командировке","г. Москва, РФ","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Нуркамил Апишевич","Мадалиев","В командировке","г. Москва, РФ","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Эркин Абдышевич","Сакебаев","В командировке","г.   Санкт-Петербург, РФ","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
